Speise_ID,Speise,Beschreibung,Preis
1,Gemischter Salat,"Ein gemischter Salat ( Feldsalat, Tomaten, Gurken, Zwiebel, Oliven, Fetakäse",7.95
2,Vesperplatte,"Landbrot, Wildschweinsalami, Zwiebelwurst, geräucherter Landschinken, Oliven und Gewürzgurke",12.95
3,Spaghetti Bolognese,Frische Spaghetti mit hausgemachter Bolognese und Parmesan,12.95
4,Spaghetti Carbonara,"Frische Spaghetti mit Guanciale ( Schweinespeck ) und Eigelb, dazu Parmesan",14.95
5,Pizza Salami,Hausgemachte Pizza mit Salami aus dem Steinofen,11.95
6,Pizza Vierkäse.,"Hausgemachte Pizza mit Mozarella, Gorgonzola, Gouda, Pecorino",13.95
7,Rinderhüfte,"Dry Aged Ringersteak von der Hüfte, dazu Speckbohnen und Bratkartoffeln",24.95
8,Rinderfilet,"Filetsteak vom Rind, dazu Rosenkohl, Salzkartoffeln und eine Rotweinsauce ",37.95
9,Wiener Schnitzel,"Wiener Schnitzel vom Kalb, dazu Bratkartoffeln und Spargel",22.95
10,Champ.- Schnitzel,"Schnitzel Wiener Art vom Schwein mit frischen Champignons in einer Rahmsauce, dazu Kartoffelstampf und Buttergemüse",19.95
